# Bangla word list for Amader Bangla Keyboard.
# Derived from the Google language-resources (bn) lexicon,
# https://github.com/google/language-resources  (CC BY 4.0).
# Format: bangla<TAB>freq
অনেকবারই	8
অনেকভাবে	9
অনেকভাবেই	8
অনেকাংশ	10
অনেকাংশই	9
অনেকাংশে	10
অনেকাংশেই	9
অনেকে	11
অনেকেই	10
অনেকেও	10
অনেকের	10
অনেকেরই	9
অনেক্ষণ	9
অনের	11
অনৈক্য	10
অনৈক্যের	9
অনৈতিক	10
অনৈতিকতা	9
অনৈতিকতার	8
অনৈতিকভাবে	8
অনৈসলামিক	8
অন্টারিওর	8
অন্ডাল	10
অন্ত	11
অন্তঃকর্ণ	8
অন্তঃকর্ণের	7
অন্তঃপুরে	9
অন্তঃপ্রাণ	8
অন্তঃসত্ত্বা	7
অন্তঃসারশূন্য	6
অন্তঃস্থ	9
অন্তঃস্বত্ত্বা	6
অন্তত	10
অন্ততপক্ষে	7
অন্তর	10
অন্তরকে	9
অন্তরা	10
অন্তরাত্মা	8
অন্তরালে	9
অন্তরালেই	8
অন্তরালের	8
অন্তরীণ	9
অন্তরে	10
অন্তরের	9
অন্তর্গত	8
অন্তর্ঘাত	8
অন্তর্ঘাতমূলক	5
অন্তর্জালে	8
অন্তর্দৃষ্টি	7
অন্তর্দ্বন্দ্ব	5
অন্তর্ধান	8
অন্তর্ধানের	7
অন্তর্নিহিত	7
অন্তর্বর্তী	7
অন্তর্বর্তীকালীন	4
অন্তর্বাস	8
অন্তর্বাসের	7
অন্তর্ভুক্ত	7
অন্তর্ভুক্তি	7
অন্তর্ভুক্তিতে	6
অন্তর্ভুক্তিমূলক	4
অন্তর্ভুক্তির	6
অন্তর্ভূক্ত	7
অন্তর্ভূক্তি	7
অন্তর্ভূক্তির	6
অন্তর্মুখী	8
অন্তর্যামী	8
অন্তর্হিত	8
অন্তস্তল	8
অন্তহীন	9
অন্তিম	10
অন্তু	11
অন্তুর	10
অন্তে	11
অন্ত্যজ	9
অন্ত্যমিল	8
অন্ত্র	10
অন্ত্রে	10
অন্ত্রের	9
অন্দর	10
অন্দরমহল	7
অন্দরমহলে	7
